Andh,ra Pradesh,""
Constituency  : 1 . SRIKAKULAM,"",""
1 . RAJAGOPALARAO BODEPALLI,M INC 233171,69.48%
2 . N. G. RANGA,M SWA 95710,28.52%
3 . S. VANAJANABHAM,M IND 6736,2.01%
ELECTORS : 509486 VOTERS  : 345636,POLL PERCENTAGE  : 67.84%  VALID VOTES ,: 335617
Constituency  : 2 . PARAVATHIPURAM (ST),"",""
1 . BIDDIKA SATYANNARAYANA,M INC 190975,73.82%
2 . NARASIMHARO VISWASARAI,M SWA 38847,15.02%
3 . BIDDIKI LAKSHMINARAYANA,M CPI 28877,11.16%
ELECTORS : 517345 VOTERS  : 267804,POLL PERCENTAGE  : 51.77%  VALID VOTES ,: 258699
Constituency  : 3 . BOBBILI,"",""
1 . KARRI NARAYANA RAO,M INC 223043,84.51%
2 . ROUTHU CHANDRASEKHARA RAO,M SWA 40874,15.49%
ELECTORS : 509133 VOTERS  : 274000,POLL PERCENTAGE  : 53.82%  VALID VOTES ,: 263917
Constituency  : 4 . VISAKHAPATNAM,"",""
1 . P. V. G. RAJU,M IND 184464,57.63%
2 . TENNETI VISWANATHAM,M IND 117276,36.64%
3 . S. N. PATRUDU,M IND 18345,5.73%
ELECTORS : 560021 VOTERS  : 329703,POLL PERCENTAGE  : 58.87%  VALID VOTES ,: 320085
Constituency  : 5 . BHADRACHALAM (ST),"",""
1 . B. RADHABAI ANANDA RAO,M INC 115367,58.54%
2 . NUPA BOJJI,M CPI 47319,24.01%
3 . PUJARI BALARAJU,M IND 9450,4.80%
4 . MIRTIWADA PEDABBAI,M IND 9297,4.72%
6 . P. VANI RAMANA RAO,M NCO 8544,4.34%
5 . KARAM BAPANNA DORA,M IND 7089,3.60%
ELECTORS : 501947 VOTERS  : 205533,POLL PERCENTAGE  : 40.95%  VALID VOTES ,: 197066
Constituency  : 6 . ANAKAPALLI,"",""
1 . S. R. A. S. APPALUANIDU,M INC 215209,69.06%
2 . V. V. RAMANA,M SWA 69115,22.18%
3 . PUVVADA VENKATESWARA RAO,M IND 15469,4.96%
4 . K. V. RAMESAM,M IND 11817,3.79%
ELECTORS : 555995 VOTERS  : 322402,POLL PERCENTAGE  : 57.99%  VALID VOTES ,: 311610
Constituency  : 7 . KAKINADA,"",""
1 . M. S. SANJEEVI RAO,M INC 313060,87.47%
2 . P. V. N. RAJU,M BJS 20134,5.63%
rptDetailedResults - 1 of  95,108,""


Andh,ra Pradesh,""
3 . C. V. K. RAO,M IND 19434,5.43%
4 . SATHIRAJU MUMMIDI,M IND 4417,1.23%
5 . BHAVARAJU SURYA BHASKARA RAO,M IND 878,0.25%
ELECTORS : 566461 VOTERS  : 366066,POLL PERCENTAGE  : 64.62%  VALID VOTES ,: 357923
Constituency  : 8 . RAJAHMUNDRY,"",""
1 . S. B. P. PATTABHI RAMARAO,M INC 250124,64.59%
2 . PRABHAKARA  CHOWDARY CHITTURI,M CPI 53642,13.85%
3 . C. NARASIMHAN,M IND 48695,12.57%
4 . D. S. RAJU,M NCO 29397,7.59%
5 . BUSI MACHARAIAM,M MLP 2252,0.58%
6 . DURBHA SUBBARAO,M IND 2060,0.53%
7 . P. VEERA VENKATA SATYANARAYANA ,MURTY M IND 1070,0.28%
ELECTORS : 575708 VOTERS  : 394577,POLL PERCENTAGE  : 68.54%  VALID VOTES ,: 387240
Constituency  : 9 . AMALAPURAM (SC),"",""
1 . B. S. MURTHY,M INC 301405,82.13%
2 . PENUMALA GOPALAKRISHNA,M NCO 43846,11.95%
3 . B. V. RAMANAYYA,M RPK 21746,5.93%
ELECTORS : 562612 VOTERS  : 375509,POLL PERCENTAGE  : 66.74%  VALID VOTES ,: 366997
Constituency  : 10 . NARASAPUR,"",""
1 . M. T. RAJU,M INC 285356,72.60%
2 . UDDARAJU RAMAN,M CPM 92601,23.56%
3 . GANTA ARUNAKUMAR,M RPK 6312,1.61%
4 . K. N. MURTY,M MLP 6098,1.55%
5 . KESABOYINA BHAGESWARARAO,M IND 2691,0.68%
ELECTORS : 610909 VOTERS  : 400110,POLL PERCENTAGE  : 65.49%  VALID VOTES ,: 393058
Constituency  : 11 . ELURU,"",""
1 . KOMMAREDDI SURYANARAYANA,M INC 235933,66.31%
2 . V. V. G. TILAK,M CPI 60878,17.11%
3 . VEERAMACHANENI VENKATANARAYAN,A M IND 37772,10.62%
4 . PEATHI SESHAIAH,M IND 8120,2.28%
5 . VASE NAGESWARARAO,M RPK 4842,1.36%
6 . VASE RAMARAO,M MLP 4541,1.28%
7 . VERRAMILLI NARASIMHARAO,M IND 1899,0.53%
8 . SREERAMACHANDRARAO PINNAMANEN,I M IND 1830,0.51%
ELECTORS : 565759 VOTERS  : 362960,POLL PERCENTAGE  : 64.15%  VALID VOTES ,: 355815
Constituency  : 12 . GUDIVADA,"",""
1 . ANKINEDU MAGANTI,M INC 279225,70.90%
2 . H. R. SAYOJI RA,M SWA 68791,17.47%
3 . SUBBA RAO MANIKONDA,M CPM 39561,10.05%
4 . GARIKIMUKKU ASEERVADAM,M IND 6227,1.58%
ELECTORS : 581062 VOTERS  : 400773,POLL PERCENTAGE  : 68.97%  VALID VOTES ,: 393804
rptDetailedResults - 2 of  95,109,""


Andh,ra Pradesh,""
Constituency  : 13 . VIJAYAWADA,"",""
1 . K. L. RAO,M INC 251917,69.88%
2 . D. NAGABHUSHANA RAO,M CPI 95913,26.61%
3 . ALASAPURI RAJAYYA,M IND 8280,2.30%
4 . NADENDLA SATYANARAYANA,M NCO 4393,1.22%
