Election Commission of India,", General Electio","ns,1977 (6th LOK SABHA)",""
CONSTITUENC,Y DATA, - SUMMARY,""
STATE/UT : ANDHRA PRADESH,"",CODE :,S01
CONSTITUENCY :   SRIKAKULAM,"",NO :,1
"",MALE,FEMALE,TOTAL
I.  CANDIDATES,"","",""
1. NOMINATED,4,1,5
2. REJECTED,0,0,0
3. WITHDRAWN,1,1,2
4. CONTESTED,3,0,3
5. FORFEITED DEPOSIT,1,0,1
II.  ELECTORS,"","",""
1. GENERAL,275686,309376,585062
2. SERVICE,0,0,0
3. TOTAL,275686,309376,585062
III.  ELECTORS WHO VOTED,"","",""
1. GENERAL,202654,191860,394514
2. POSTAL,0,0,0
3. TOTAL,202654,191860,394514
IV.  VOTES,"","",""
1. POLLED,394514,( 67.43%  of Total Electors),""
2. VALID,380951,"",""
3. REJECTED,13563,( 3.44%  of Total Votes Polled),""
4. MISSING,0,"",""
5. TENDERED,0,"",""
V.  POLLING STATIONS,"","",""
NUMBER : 665 AV,ERAGE ELE,CTORS PER POLLING S,TATION  : 879
VI.  DATES,"","",""
POLLING,COUNTING,DECLARATION O,F RESULT
16-03-1977,"","",""
VII. RESULT,"","",""
PARTY,CANDIDATE,"",VOTES
Winner: INC,RAJGOPALARA,O BODDEPALLI,187125
Runner up  : BLD,GOUTHU LATC,HANNA,178391
MARGIN: 8734 ( 2.29% of Total, Valid Votes ),"",""
(rptConstituencySummary - Page 1 of  541),"","",""
"",3,"",""


Election Commission of India,", General Electio","ns,1977 (6th LOK SABHA)",""
CONSTITUENC,Y DATA, - SUMMARY,""
STATE/UT : ANDHRA PRADESH,"",CODE :,S01
CONSTITUENCY :   PARVATHIPURAM (ST),"",NO :,2
"",MALE,FEMALE,TOTAL
I.  CANDIDATES,"","",""
1. NOMINATED,4,0,4
2. REJECTED,1,0,1
3. WITHDRAWN,1,0,1
4. CONTESTED,2,0,2
5. FORFEITED DEPOSIT,0,0,0
II.  ELECTORS,"","",""
1. GENERAL,320608,335391,655999
2. SERVICE,0,0,0
3. TOTAL,320608,335391,655999
III.  ELECTORS WHO VOTED,"","",""
1. GENERAL,180302,149989,330291
2. POSTAL,0,0,0
3. TOTAL,180302,149989,330291
IV.  VOTES,"","",""
1. POLLED,330291,( 50.35%  of Total Electors),""
2. VALID,317164,"",""
3. REJECTED,13127,( 3.97%  of Total Votes Polled),""
4. MISSING,0,"",""
5. TENDERED,0,"",""
V.  POLLING STATIONS,"","",""
NUMBER : 694 AV,ERAGE ELE,CTORS PER POLLING S,TATION  : 945
VI.  DATES,"","",""
POLLING,COUNTING,DECLARATION O,F RESULT
16-03-1977,"","",""
VII. RESULT,"","",""
PARTY,CANDIDATE,"",VOTES
Winner: INC,VYRICHORLA ,KISHORE CHANDRA ,174454
"",SURYANARAY,ANA DEO,""
Runner up  : BLD,SATYA PRASA,D THATRAJ VEERAVARA ,142710
"",THODARMAL,"",""
MARGIN: 31744 ( 10.01% of Total, Valid Votes ),"",""
(rptConstituencySummary - Page 2 of  541),"","",""
"",4,"",""


Election Commission of India,", General Electio","ns,1977 (6th LOK SABHA)",""
CONSTITUENC,Y DATA, - SUMMARY,""
STATE/UT : ANDHRA PRADESH,"",CODE :,S01
CONSTITUENCY :   BOBBILI,"",NO :,3
"",MALE,FEMALE,TOTAL
I.  CANDIDATES,"","",""
1. NOMINATED,8,0,8
2. REJECTED,0,0,0
3. WITHDRAWN,1,0,1
4. CONTESTED,7,0,7
5. FORFEITED DEPOSIT,5,0,5
II.  ELECTORS,"","",""
1. GENERAL,310230,325423,635653
2. SERVICE,0,0,0
3. TOTAL,310230,325423,635653
III.  ELECTORS WHO VOTED,"","",""
1. GENERAL,187009,155859,342868
2. POSTAL,0,0,0
3. TOTAL,187009,155859,342868
IV.  VOTES,"","",""
1. POLLED,342868,( 53.94%  of Total Electors),""
2. VALID,330592,"",""
3. REJECTED,12276,( 3.58%  of Total Votes Polled),""
4. MISSING,0,"",""
5. TENDERED,0,"",""
V.  POLLING STATIONS,"","",""
NUMBER : 726 AV,ERAGE ELE,CTORS PER POLLING S,TATION  : 875
VI.  DATES,"","",""
POLLING,COUNTING,DECLARATION O,F RESULT
16-03-1977,"","",""
VII. RESULT,"","",""
