ANDHRA PRADESH,"","","","",""
Constituency  : 1 . SRIKAKULAM,"","","","",""
1 . YERRANNAIDU KINJARAPU,M 47,GEN TDP,361586,320,361906
2 . KILLI KRUPARANI,F 39,GEN INC,329432,595,330027
5 . DUNGA RANGARAO NAIDU,M 49,GEN IND,13848,0,13848
3 . MYLAPALLI LAKSHMUDU,M 37,GEN BSP,13008,3,13011
4 . TAMMINENI JAGANMOHAN RAO,M 37,GEN IND,4982,0,4982
"",TOTAL:,"",722856,918,723774
Constituency  : 2 . PARVATHIPURAM (ST),"","","","",""
1 . KISHORE CHANDRA SURYANARAYANA DEO ,M 57,ST INC,321355,433,321788
VYRICHERLA,"","","","",""
2 . DADICHILUKA VEERA GOURI SANKARA RAO,M 35,ST TDP,314098,272,314370
4 . UOOYAKA MUTYALU,M 32,ST IND,13895,1,13896
3 . ARIKA GUMPASWAMY,M 55,ST IND,10864,5,10869
"",TOTAL:,"",660212,711,660923
Constituency  : 3 . BOBBILI,"","","","",""
1 . KONDAPALLI PYDITHALLI NAIDU,M 73,GEN TDP,373469,453,373922
2 . JHANSI BOTCHA,F 37,GEN INC,341850,724,342574
4 . PEDDINTI JAGANMOHAN RAO,M 55,GEN IND,16067,31,16098
3 . G.VENKATESH,M 47,SC TRS,14131,0,14131
"",TOTAL:,"",745517,1208,746725
Constituency  : 4 . VISAKHAPATNAM,"","","","",""
2 . JANARDHANA REDDY NEDURUMALLI,M 69,GEN INC,523889,233,524122
3 . DR.M.V.V.S.MURTHY,M 65,GEN TDP,393415,136,393551
1 . KOLAVENTI SUNDARA RAO,M 64,GEN BSP,16673,0,16673
8 . BHARANIKANA RAMA RAO,M 59,GEN IND,10997,5,11002
4 . MANDEM SUBHASH CHANDRA BOSE YADAV,M 43,GEN SP,5685,0,5685
10 . SATYANARAYANA MACHIRAJU,M 60,GEN IND,5602,0,5602
6 . VAMSI KIRAN.B,M 28,GEN PPOI,2920,0,2920
9 . S.V.B.REDDY,M 57,GEN IND,2358,0,2358
5 . MAMIDI SOMUNAIDU,M 67,GEN RJD,2017,1,2018
7 . APPARAO GUDIVADA,M 63,GEN IND,1809,0,1809
"",TOTAL:,"",965365,375,965740
Constituency  : 5 . BHADRACHALAM (ST),"","","","",""
3 . MIDIYAM BABU RAO,M 52,ST CPM,372653,495,373148
2 . SMT.KPRK PHANEESWARAMMA,F 38,ST TDP,319284,58,319342
1 . JANNI APPA RAO,M 30,ST BSP,71977,1,71978
5 . KETCHELA RANGA REDDI,M 50,ST IND,38218,1,38219
4 . MADAKAM BHEEMA RAJU,M 25,ST MCPI(S),20728,0,20728
"",TOTAL:,"",822860,555,823415


ANDHRA PRADESH,"","","","",""
Constituency  : 6 . ANAKAPALLI,"","","","",""
1 . CHALAPATHIRAO PAPPALA,M 58,GEN TDP,385199,207,385406
2 . NANDA GOPAL GANDHAM,M 57,GEN INC,369841,151,369992
3 . SADARAM APPALA RAJU,M 50,GEN BSP,26707,1,26708
"",TOTAL:,"",781747,359,782106
Constituency  : 7 . KAKINADA,"","","","",""
2 . MALLIPUDI MANGAPATI PALLAM RAJU,M 41,GEN INC,410826,156,410982
3 . MUDRAGADA PADMANABHAM,M 48,GEN TDP,353654,76,353730
5 . CHANDRAVATHI DWARAMPUDI,F 52,GEN IND,30153,0,30153
1 . APPARAO PUAGALA,M 67,SC BSP,16373,0,16373
4 . NAINALASETTI MURTHY,M 51,GEN CPI(ML)(L),9458,0,9458
7 . PUVVALA ANANDA RAO,M 33,SC IND,8544,0,8544
6 . CHAGANTI SURYANARAYANA MURTHY,M 39,GEN IND,3044,0,3044
"",TOTAL:,"",832052,232,832284
Constituency  : 8 . RAJAHMUNDRY,"","","","",""
1 . ARUNA KUMAR VUNDAVALLI,M 49,GEN INC,413531,396,413927
2 . KANTIPUDI SARVARAYUDU,M 53,GEN BJP,264942,165,265107
6 . S.B.P.B.K.SATYANARAYANA RAO,M 82,GEN IND,99601,70,99671
3 . GURRALA PARAMJYOTHI,M 46,SC IND,22597,1,22598
5 . PATAMSETTI V.V.S.V.PRASAD (BABU),M 32,GEN IND,10192,0,10192
4 . DUGGIREDDY DHARMA REDDY,M 29,GEN IND,4630,0,4630
"",TOTAL:,"",815493,632,816125
Constituency  : 9 . AMALAPURAM (SC),"","","","",""
3 . G.V. HARSHA KUMAR,M 43,SC INC,349233,1113,350346
1 . DUNNA JANARDHANA RAO,M 53,SC TDP,308468,393,308861
4 . MUNEESWARA RAO BHUPATI,M 59,SC IND,26698,1,26699
5 . YALANGI RAMESH,M 40,SC IND,9550,0,9550
2 . D. MURALIKRISHNA,M 59,SC BSP,8766,2,8768
"",TOTAL:,"",702715,1509,704224
Constituency  : 10 . NARASAPUR,"","","","",""
2 . CHEGONDI VENKATA HARIRAMA JOGAIAH,M 67,GEN INC,401002,1759,402761
1 . UPPALAPATI VENKATAKRISHNAM RAJU,M 64,GEN BJP,337348,1001,338349
3 . ALLURI YUGANDHARA  RAJU,M 39,GEN PPOI,27422,5,27427
"",TOTAL:,"",765772,2765,768537
Constituency  : 11 . ELURU,"","","","",""
1 . KAVURU  SAMBA SIVA RAO,M 60,GEN INC,497721,1470,499191
3 . BOLLA BULLI RAMAIAH,M 77,GEN TDP,375282,618,375900
2 . D.S.V.KRISHNAJI,M 38,GEN BSP,8703,4,8707
4 . B.N.V.SATYANARAYANA,M 42,GEN TRS,4776,0,4776
7 . S.V.SUBBARAO,M 44,GEN IND,4736,0,4736
5 . KODURI SRIRAMULU,M 45,GEN IND,1904,0,1904
