State/UT :S01,"","",Code :S01,""
Constituency :Adilabad,"","",No. :1,""
I. CANDIDATES,MEN,WOMEN,OTHERS,TOTAL
1. NOMINATED, 11 , 0 , 0 , 11 
2. NOMINATION REJECTED, 2 , 0 , 0 , 2 
3. WITHDRAWN, 1 , 0 , 0 , 1 
4. CONTESTED, 8 , 0 , 0 , 8 
5. FORFEITED DEPOSIT, 5 , 0 , 0, 5 
II. ELECTORS,"","","",""
1. GENERAL, 686853 , 698617 , 144 ,1385614 
2. OVERSEAS, 0, 0, 0, 0 
3. SERVICE, 568 , 100 ,"", 668 
4. TOTAL, 687421 , 698717 , 144 ,1386282 
III. VOTERS,"","","",""
1. GENERAL, 518481 , 525482 , 2 ,1043965 
2. OVERSEAS, 0, 0, 0, 0 
3. PROXY,"","","", 0 
4. POSTAL,"","","", 11628 
5. TOTAL,"","","",1055593 
6. Votes Rejected Due to Other Reason,"","","", 0 
III(A). POLLING PERCENTAGE  76.15 ,"","","",""
IV. VOTES,"","","",""
1. TOTAL VOTES POLLED ON EVM,"","","",1043965 
2. TOTAL DEDUCTED VOTES FROM EVM,(TEST VOTES + VOTES NOT RET,RIVED+ NOTA),"", 23266 
3. TOTAL VALID VOTES POLLED ON EVM,"","","",1020699 
4. POSTAL VOTES COUNTED,"","","", 11628 
5. POSTAL VOTES DEDUCTED (REJECTED POSTA,L VOTES + NOTA),"","", 3572 
6. VALID POSTAL VOTES,"","","", 8056 
7. TOTAL VALID VOTES POLLED,"","","",1028755 
8. TEST VOTES POLLED ON EVM,"","","", 0 
9. VOTES POLLED FOR 'NOTA' (INCLUDING PO,STAL),"","", 17084 
10. TENDERED VOTES,"","","", 1 
V. POLLING STATIONS,"","","",""
NUMBER  1662 ,AVERAGE E,LECTORS PER POLLING ,STATION  8,34 
"DATE(s) OF RE-POLL, IF ANY :","","",n,ull
NUMBER OF POLLING STATIONS WHERE RE-POL,L WAS ORDERED,"",N,IL
VI. DATES,"","","",""
POLLING,COUNTING,DE,CLARATION OF RES,ULT
30-Apr-2014,16-May-2014,1,6-May-2014,""
VII. RESULT,"","","",""
PARTY,CANDIDATE,"",VOTES,""
WINNER TRS,Godam Nagesh,"", 430847 ,""
RUNER-UP INC,Naresh,"", 259557 ,""
MARGIN  171290 ,"","","",""


State/UT :S01,"","",Code :S01,""
Constituency :Peddapalle,"","",No. :2,""
I. CANDIDATES,MEN,WOMEN,OTHERS,TOTAL
1. NOMINATED, 20 , 1 , 0 , 21 
2. NOMINATION REJECTED, 2 , 0 , 0 , 2 
3. WITHDRAWN, 2 , 0 , 0 , 2 
4. CONTESTED, 16 , 1 , 0 , 17 
5. FORFEITED DEPOSIT, 14 , 1 , 0, 15 
II. ELECTORS,"","","",""
1. GENERAL, 725395 , 699423 , 116 ,1424934 
2. OVERSEAS, 0, 0, 0, 0 
3. SERVICE, 370 , 51 ,"", 421 
4. TOTAL, 725765 , 699474 , 116 ,1425355 
III. VOTERS,"","","",""
1. GENERAL, 520741 , 500992 , 14 ,1021747 
2. OVERSEAS, 0, 0, 0, 0 
3. PROXY,"","","", 0 
4. POSTAL,"","","", 3447 
5. TOTAL,"","","",1025194 
6. Votes Rejected Due to Other Reason,"","","", 0 
III(A). POLLING PERCENTAGE  71.93 ,"","","",""
IV. VOTES,"","","",""
1. TOTAL VOTES POLLED ON EVM,"","","",1021747 
2. TOTAL DEDUCTED VOTES FROM EVM,(TEST VOTES + VOTES NOT RET,RIVED+ NOTA),"", 8303 
3. TOTAL VALID VOTES POLLED ON EVM,"","","",1013444 
4. POSTAL VOTES COUNTED,"","","", 3447 
5. POSTAL VOTES DEDUCTED (REJECTED POSTA,L VOTES + NOTA),"","", 68 
6. VALID POSTAL VOTES,"","","", 3379 
7. TOTAL VALID VOTES POLLED,"","","",1016823 
8. TEST VOTES POLLED ON EVM,"","","", 0 
9. VOTES POLLED FOR 'NOTA' (INCLUDING PO,STAL),"","", 5361 
10. TENDERED VOTES,"","","", 0 
V. POLLING STATIONS,"","","",""
NUMBER  1707 ,AVERAGE E,LECTORS PER POLLING ,STATION  8,35 
"DATE(s) OF RE-POLL, IF ANY :","","",n,ull
NUMBER OF POLLING STATIONS WHERE RE-POL,L WAS ORDERED,"",N,IL
VI. DATES,"","","",""
POLLING,COUNTING,DE,CLARATION OF RES,ULT
30-Apr-2014,16-May-2014,1,6-May-2014,""
VII. RESULT,"","","",""
PARTY,CANDIDATE,"",VOTES,""
WINNER TRS,Balka Suman,"", 565496 ,""
RUNER-UP INC,G. Vivekanand,"", 274338 ,""
MARGIN  291158 ,"","","",""


State/UT :S01,"","",Code :S01,""
Constituency :Karimnagar,"","",No. :3,""
I. CANDIDATES,MEN,WOMEN,OTHERS,TOTAL
1. NOMINATED, 20 , 0 , 0 , 20 
2. NOMINATION REJECTED, 2 , 0 , 0 , 2 
3. WITHDRAWN, 1 , 0 , 0 , 1 
4. CONTESTED, 17 , 0 , 0 , 17 
5. FORFEITED DEPOSIT, 14 , 0 , 0, 14 
II. ELECTORS,"","","",""
1. GENERAL, 777182 , 773249 , 79 ,1550510 
2. OVERSEAS, 0, 0, 0, 0 
3. SERVICE, 258 , 42 ,"", 300 
4. TOTAL, 777440 , 773291 , 79 ,1550810 
III. VOTERS,"","","",""
1. GENERAL, 550760 , 569382 , 0 ,1120142 
2. OVERSEAS, 0, 0, 0, 0 
3. PROXY,"","","", 0 
4. POSTAL,"","","", 7083 
5. TOTAL,"","","",1127225 
6. Votes Rejected Due to Other Reason,"","","", 0 
III(A). POLLING PERCENTAGE  72.69 ,"","","",""
IV. VOTES,"","","",""
1. TOTAL VOTES POLLED ON EVM,"","","",1120142 
2. TOTAL DEDUCTED VOTES FROM EVM,(TEST VOTES + VOTES NOT RET,RIVED+ NOTA),"", 6223 
3. TOTAL VALID VOTES POLLED ON EVM,"","","", 1113919 
4. POSTAL VOTES COUNTED,"","","", 7083 
5. POSTAL VOTES DEDUCTED (REJECTED POSTA,L VOTES + NOTA),"","", 1552 
6. VALID POSTAL VOTES,"","","", 5531 
7. TOTAL VALID VOTES POLLED,"","","", 1119450 
8. TEST VOTES POLLED ON EVM,"","","", 0 
9. VOTES POLLED FOR 'NOTA' (INCLUDING PO,STAL),"","", 5734 
10. TENDERED VOTES,"","","", 1 
V. POLLING STATIONS,"","","",""
NUMBER  1876 ,AVERAGE E,LECTORS PER POLLING ,STATION  8,27 
"DATE(s) OF RE-POLL, IF ANY :","","",13-May-20,14
NUMBER OF POLLING STATIONS WHERE RE-POL,L WAS ORDERED,"","",1
VI. DATES,"","","",""
POLLING,COUNTING,DE,CLARATION OF RES,ULT
30-Apr-2014,16-May-2014,1,6-May-2014,""
VII. RESULT,"","","",""
PARTY,CANDIDATE,"",VOTES,""
WINNER TRS,Vinod Kumar Boin,apally, 505358 ,""
RUNER-UP INC,Ponnam Prabhak,ar, 300706 ,""
MARGIN  204652 ,"","","",""


State/UT :S01,"","",Code :S01,""
Constituency :Nizamabad,"","",No. :4,""
I. CANDIDATES,MEN,WOMEN,OTHERS,TOTAL
1. NOMINATED, 38 , 1 , 0 , 39 
2. NOMINATION REJECTED, 14 , 0 , 0 , 14 
3. WITHDRAWN, 9 , 0 , 0 , 9 
4. CONTESTED, 15 , 1 , 0 , 16 
5. FORFEITED DEPOSIT, 13 , 0 , 0, 13 
II. ELECTORS,"","","",""
1. GENERAL, 724326 , 771547 , 84 ,1495957 
2. OVERSEAS, 0, 0, 0, 0 
3. SERVICE, 197 , 39 ,"", 236 
4. TOTAL, 724523 , 771586 , 84 ,1496193 
III. VOTERS,"","","",""
1. GENERAL, 467172 , 559329 , 4 ,1026505 
2. OVERSEAS, 0, 0, 0, 0 
3. PROXY,"","","", 0 
4. POSTAL,"","","", 7527 
5. TOTAL,"","","",1034032 
6. Votes Rejected Due to Other Reason,"","","", 0 
III(A). POLLING PERCENTAGE  69.11 ,"","","",""
IV. VOTES,"","","",""
1. TOTAL VOTES POLLED ON EVM,"","","",1026505 
2. TOTAL DEDUCTED VOTES FROM EVM,(TEST VOTES + VOTES NOT RET,RIVED+ NOTA),"", 7244 
3. TOTAL VALID VOTES POLLED ON EVM,"","","",1019261 
4. POSTAL VOTES COUNTED,"","","", 7527 
5. POSTAL VOTES DEDUCTED (REJECTED POSTA,L VOTES + NOTA),"","", 130 
6. VALID POSTAL VOTES,"","","", 7397 
7. TOTAL VALID VOTES POLLED,"","","",1026658 
8. TEST VOTES POLLED ON EVM,"","","", 0 
9. VOTES POLLED FOR 'NOTA' (INCLUDING PO,STAL),"","", 7266 
10. TENDERED VOTES,"","","", 0 
V. POLLING STATIONS,"","","",""
NUMBER  1653 ,AVERAGE E,LECTORS PER POLLING ,STATION  9,05 
"DATE(s) OF RE-POLL, IF ANY :","","",13-May-20,14
NUMBER OF POLLING STATIONS WHERE RE-POL,L WAS ORDERED,"","",2
VI. DATES,"","","",""
POLLING,COUNTING,DE,CLARATION OF RES,ULT
30-Apr-2014,16-May-2014,1,6-May-2014,""
VII. RESULT,"","","",""
PARTY,CANDIDATE,"",VOTES,""
WINNER TRS,Kalvakuntla Kavit,ha, 439307 ,""
RUNER-UP INC,Madhu Yaskhi Go,ud, 272123 ,""
MARGIN  167184 ,"","","",""


State/UT :S01,"","",Code :S01,""
Constituency :Zahirabad,"","",No. :5,""
I. CANDIDATES,MEN,WOMEN,OTHERS,TOTAL
1. NOMINATED, 15 , 0 , 0 , 15 
2. NOMINATION REJECTED, 2 , 0 , 0 , 2 
3. WITHDRAWN, 3 , 0 , 0 , 3 
4. CONTESTED, 10 , 0 , 0 , 10 
5. FORFEITED DEPOSIT, 8 , 0 , 0, 8 
II. ELECTORS,"","","",""
1. GENERAL, 717757 , 727350 , 74 ,1445181 
2. OVERSEAS, 0, 0, 0, 0 
3. SERVICE, 134 , 39 ,"", 173 
4. TOTAL, 717891 , 727389 , 74 ,1445354 
