Andhra Pradesh,"","","","","","","",""
 CONSTITUENCY : 1 . A,dilabad,"",( Total Electors, 1386282 ),"","","",""
 1 GODAM NAGESH,M  49 ,ST,TRS Car, 425762 , 5085 , 430847 , 31.08 , 40.82 
 2 NARESH,M  37 ,ST,INC Hand, 257994 , 1563 , 259557 , 18.73 , 24.59 
 3 RAMESH RATHOD,M  48 ,ST,TDP Bicycle, 182879 , 1319 , 184198 , 13.29 , 17.45 
 4 RATHOD SADASHIV,M  55 ,ST,BSP Elephant, 94363 , 57 , 94420 , 6.81 , 8.94 
 5 NETHAWATH RAMDAS,M  44 ,ST,IND Auto- , 41028 , 4 , 41032 , 2.96 , 3.89 
"","","",Rickshaw,"","","","",""
 6 PAWAR KRISHNA,M  33 ,ST,IND Bat, 5051 , 4 , 5055 , 0.36 , 0.48 
 7 BANKA SAHADEV,M  53 ,ST,IND Gas , 4780 , 7 , 4787 , 0.35 , 0.45 
"","","",Cylinder,"","","","",""
 8 MOSALI CHINNAIAH,M  40 ,ST,IND Almirah, 8842 , 17 , 8859 , 0.64 , 0.84 
 9 None of the Above,"","",NOTA NOTA, 17021 , 63 , 17084 , 1.23 , 1.62 
"","","",TOTAL:, 1037720 , 8119 , 1045839 , 75.45, 99.08
 CONSTITUENCY : 2 . Pe,ddapalle,"",( Total Electors, 1425355 ),"","","",""
 1 DR.JANAPATI SARAT ,M  42 ,SC,TDP Bicycle, 63174 , 160 , 63334 , 4.44 , 6.18 
BABU,"","","","","","","",""
 2 TAGARAM SHANKAR ,M  37 ,SC,BSP Elephant, 9430 , 19 , 9449 , 0.66 , 0.92 
LAL,"","","","","","","",""
 3 BALKA SUMAN,M  31 ,SC,TRS Car, 563214 , 2282 , 565496 , 39.68 , 55.16 
 4 G. VIVEKANAND,M  56 ,SC,INC Hand, 273441 , 897 , 274338 , 19.25 , 26.76 
 5 KALVALA SHANKAR,M  44 ,SC,PPOI Television, 9288 , 2 , 9290 , 0.65 , 0.91 
 6 KALVALA SANJEEV,M  37 ,SC,RPI Sewing , 8609 , 0 , 8609 , 0.60 , 0.84 
"","","",Machine,"","","","",""


 7 BOTHA VENKATA ,M  58 ,SC,BCUF Chappals, 2245 , 0 , 2245 , 0.16 , 0.22 
MALLAIAH,"","","","","","","",""
 8 J.V. RAJU,M  50 ,SC,NIP Cup & , 3020 , 0 , 3020 , 0.21 , 0.29 
"","","",Saucer,"","","","",""
 9 VENKATA SWAMY ,M  42 ,SC,MaSP Ring, 3861 , 5 , 3866 , 0.27 , 0.38 
INJAM,"","","","","","","",""
 10 VELTHURU MALLAIAH,M  57 ,SC,RP(K) Auto- , 45976 , 1 , 45977 , 3.23 , 4.48 
"","","",Rickshaw,"","","","",""
 11 KAMILLA JAYA RAO,M  43 ,SC,IND Scissors, 2741 , 1 , 2742 , 0.19 , 0.27 
 12 GADDALA VINAY ,M  65 ,SC,IND Ceiling Fan, 3263 , 3 , 3266 , 0.23 , 0.32 
KUMAR,"","","","","","","",""
 13 GORRE RAMESH,M  43 ,SC,IND Gas , 2359 , 2 , 2361 , 0.17 , 0.23 
"","","",Cylinder,"","","","",""
 14 JINNA RAMADEVI,F  37 ,SC,IND Battery , 9199 , 0 , 9199 , 0.65 , 0.90 
"","","",Torch,"","","","",""
 15 THALLAPALLI ,M  35 ,SC,IND Candles, 3698 , 1 , 3699 , 0.26 , 0.36 
SRINIVAS,"","","","","","","",""
 16 BUPELLI NARAYANA,M  30 ,SC,IND Bat, 7255 , 3 , 7258 , 0.51 , 0.71 
 17 MOUTAM RAVINDER,M  33 ,SC,IND Almirah, 2671 , 3 , 2674 , 0.19 , 0.26 
 18 None of the Above,"","",NOTA NOTA, 5344 , 17 , 5361 , 0.38 , 0.52 
"","","",TOTAL:, 1018788 , 3396 , 1022184 , 71.72, 99.71
 CONSTITUENCY : 3 . K,arimnagar,"",( Total Electors, 1550810 ),"","","",""
 1 CHENNAMANENI ,M  73 ,GEN,BJP Lotus, 213836 , 992 , 214828 , 13.85 , 19.06 
VIDYA SAGAR RAO,"","","","","","","",""
 2 PONNAM PRABHAKAR,M  47 ,GEN,INC Hand, 298386 , 2320 , 300706 , 19.39 , 26.68 
 3 BURLA. RAVI,M  42 ,GEN,NCP Clock, 4768 , 1 , 4769 , 0.31 , 0.42 
 4 B. LAXMAN,M  53 ,SC,BSP Elephant, 11289 , 39 , 11328 , 0.73 , 1.00 
 5 VINOD KUMAR ,M  54 ,GEN,TRS Car, 503197 , 2161 , 505358 , 32.59 , 44.83 
BOINAPALLY,"","","","","","","",""
 6 DR.DHARMAIAH ,M  61 ,SC,BMUP Cot, 3771 , 1 , 3772 , 0.24 , 0.33 
VENDAVETLA,"","","","","","","",""


 7 L. PRABHAKAR REDD,Y M  48 ,GEN,PPOI Television, 3942 , 1 , 3943 , 0.25 , 0.35 
 8 MEESALA RAJI REDDY,M  44 ,GEN,YSRCP Ceiling Fan, 3071 , 4 , 3075 , 0.20 , 0.27 
 9 RANAVENI LAKSHMAN,M  41 ,GEN,NIP Cup & , 2061 , 1 , 2062 , 0.13 , 0.18 
"","","",Saucer,"","","","",""
 10 REDDI MALLA ,M  46 ,SC,RPI(A) Sewing , 8033 , 1 , 8034 , 0.52 , 0.71 
SRINIVAS,"","",Machine,"","","","",""
 11 SHAIK MAHMOOD,M  58 ,GEN,WPOI Auto- , 39300 , 8 , 39308 , 2.53 , 3.49 
"","","",Rickshaw,"","","","",""
 12 UPPULETI.LAXMAN,M  49 ,SC,IND Bat, 2445 , 0 , 2445 , 0.16 , 0.22 
 13 KANDEM PRABHAKAR,M  45 ,GEN,IND Gas Stove, 4727 , 1 , 4728 , 0.30 , 0.42 
 14 PULIKOTA RAMESH,M  34 ,SC,IND Battery , 1772 , 1 , 1773 , 0.11 , 0.16 
"","","",Torch,"","","","",""
 15 MALLESH YADAV ,M  26 ,GEN,IND Coconut, 2757 , 0 , 2757 , 0.18 , 0.24 
BARLA,"","","","","","","",""
 16 MOHAMMED AMJAD ,M  45 ,GEN,IND Kite, 6713 , 0 , 6713 , 0.43 , 0.60 
MOHIUDDIN,"","","","","","","",""
 17 SRINIVAS REDDY ,M  41 ,GEN,IND Carrom , 3851 , 0 , 3851 , 0.25 , 0.34 
LINGAMPALLY,"","",Board,"","","","",""
 18 None of the Above,"","",NOTA NOTA, 5722 , 12 , 5734 , 0.37 , 0.51 
"","","",TOTAL:, 1119641 , 5543 , 1125184 , 72.56, 99.82
 CONSTITUENCY : 4 . N,izamabad,"",( Total Electors, 1496193 ),"","","",""
 1 ENDALA ,M  51 ,GEN,BJP Lotus, 222876 , 2457 , 225333 , 15.06 , 21.79 
LAKSHMINARAYANA,"","","","","","","",""
 2 KALVAKUNTLA ,F  36 ,GEN,TRS Car, 435706 , 3601 , 439307 , 29.36 , 42.48 
KAVITHA,"","","","","","","",""
 3 TALARI RAMULU,M  46 ,SC,BSP Elephant, 7398 , 23 , 7421 , 0.50 , 0.72 
 4 MADHU YASKHI GOUD,M  56 ,GEN,INC Hand, 270948 , 1175 , 272123 , 18.19 , 26.32 
 5 ABDUL GANI,M  39 ,GEN,BCUF Chappals, 4791 , 0 , 4791 , 0.32 , 0.46 
 6 BANJA VEERAPPA,M  53 ,GEN,PPOI Television, 3649 , 2 , 3651 , 0.24 , 0.35 


 7 MALIK MOHTASIM ,M  47 ,GEN,WPOI Auto- , 43738 , 76 , 43814 , 2.93 , 4.24 
KHAN,"","",Rickshaw,"","","","",""
 8 RAPELLY SRINIVAS,M  39 ,GEN,AAAP Broom, 2613 , 8 , 2621 , 0.18 , 0.25 
 9 SAGAR SUDDALA,M  32 ,SC,BMUP Cot, 1952 , 26 , 1978 , 0.13 , 0.19 
 10 SINGAREDDY ,M  46 ,GEN,YSRCP Ceiling Fan, 3508 , 21 , 3529 , 0.24 , 0.34 
RAVINDRA REDDY,"","","","","","","",""
 11 ABDUL KAREEM KHAN,M  44 ,GEN,IND Bat, 1599 , 2 , 1601 , 0.11 , 0.15 
(BABU),"","","","","","","",""
 12 KANDEM PRABHAKAR,M  45 ,GEN,IND Gas Stove, 3988 , 2 , 3990 , 0.27 , 0.39 
 13 KOTAPATI NARSIMHAM,M  56 ,GEN,IND Gas , 2458 , 4 , 2462 , 0.16 , 0.24 
NAIDU,"","",Cylinder,"","","","",""
 14 S. CHANDRAIAH,M  66 ,GEN,IND Cup & , 2817 , 0 , 2817 , 0.19 , 0.27 
"","","",Saucer,"","","","",""
 15 CHIRULINGADRULA ,M  40 ,GEN,IND Coconut, 3091 , 0 , 3091 , 0.21 , 0.30 
VENKATESHAM,"","","","","","","",""
 16 BAGWAN B,M  49 ,ST,IND Almirah, 8129 , 0 , 8129 , 0.54 , 0.79 
 17 None of the Above,"","",NOTA NOTA, 7244 , 22 , 7266 , 0.49 , 0.70 
"","","",TOTAL:, 1026505 , 7419 , 1033924 , 69.11, 99.99
 CONSTITUENCY : 5 . Za,hirabad,"",( Total Electors, 1445354 ),"","","",""
 1 B.B. PATIL,M  58 ,GEN,TRS Car, 505983 , 2678 , 508661 , 35.19 , 46.25 
 2 K.MADAN MOHAN RAO,M  44 ,GEN,TDP Bicycle, 156807 , 690 , 157497 , 10.90 , 14.32 
 3 SYED FEROZUDDIN,M  46 ,GEN,BSP Elephant, 8165 , 15 , 8180 , 0.57 , 0.74 
 4 SURESH KUMAR ,M  53 ,GEN,INC Hand, 362939 , 1091 , 364030 , 25.19 , 33.10 
SHETKAR,"","","","","","","",""
 5 MARRI DURGESH,M  30 ,SC,RPI(A) Sewing , 18027 , 0 , 18027 , 1.25 , 1.64 
"","","",Machine,"","","","",""
 6 MAHMOOD ,M  44 ,GEN,YSRCP Ceiling Fan, 12369 , 14 , 12383 , 0.86 , 1.13 
MOHIUDDIN,"","","","","","","",""
 7 DR. SUNEEL KUMAR ,M  53 ,GEN,AAAP Broom, 3270 , 15 , 3285 , 0.23 , 0.30 
CHOWDHARY,"","","","","","","",""


 8 TANDALE AMBAJI RAO,M  45 ,GEN,IND Slate, 2321 , 2 , 2323 , 0.16 , 0.21 
 9 BENJAMIN RAJU,M  43 ,GEN,IND Grapes, 4802 , 2 , 4804 , 0.33 , 0.44 
 10 RAMA RAO,M  45 ,GEN,IND Balloon, 4426 , 0 , 4426 , 0.31 , 0.40 
 11 None of the Above,"","",NOTA NOTA, 11157 , 33 , 11190 , 0.77 , 1.02 
"","","",TOTAL:, 1090266 , 4540 , 1094806 , 75.75, 99.55
 CONSTITUENCY : 6 . M,edak,"",( Total Electors, 1536166 ),"","","",""
 1 KALVAKUNTLA ,M  60 ,GEN,TRS Car, 655484 , 2008 , 657492 , 42.80 , 55.09 
CHANDRASEKHAR ,"","","","","","","",""
RAO,"","","","","","","",""
 2 CHAGANLA ,M  49 ,GEN,BJP Lotus, 181177 , 627 , 181804 , 11.84 , 15.23 
NARENDRA NATH,"","","","","","","",""
 3 Y. SHANKAR GOUD,M  50 ,GEN,BSP Elephant, 6633 , 10 , 6643 , 0.43 , 0.56 
 4 DR.P. SHRAVAN ,M  39 ,GEN,INC Hand, 260202 , 261 , 260463 , 16.96 , 21.82 
KUMAR REDDY,"","","","","","","",""
 5 IQBAL ALI ZAFAR,M  59 ,GEN,MBT Balloon, 5010 , 0 , 5010 , 0.33 , 0.42 
 6 KOMPELLI ,M  48 ,SC,RPI(A) Sewing , 7599 , 0 , 7599 , 0.49 , 0.64 
PRABHUDAS,"","",Machine,"","","","",""
" 7 PRABHUGOUD, ",M  45 ,GEN,YSRCP Ceiling Fan, 11744 , 8 , 11752 , 0.77 , 0.98 
PULLAIAHGARI,"","","","","","","",""
 8 BOMMA BALESHAM,M  62 ,GEN,PPOI Television, 3296 , 1 , 3297 , 0.21 , 0.28 
 9 KUNDETI. RAVI.,M  40 ,GEN,IND Camera, 33507 , 0 , 33507 , 2.18 , 2.81 
 10 GAJABINKAR ,M  49 ,GEN,IND Basket , 3281 , 0 , 3281 , 0.21 , 0.27 
BANSILAL,"","",containing ,"","","","",""
"","","",Fruits,"","","","",""
 11 GURJADA BHEERAIAH,M  47 ,GEN,IND Coconut, 2050 , 3 , 2053 , 0.13 , 0.17 
YADAV,"","","","","","","",""
 12 BALARAJU ,M  43 ,GEN,IND Carrom , 2973 , 0 , 2973 , 0.19 , 0.25 
MITTAPALLY,"","",Board,"","","","",""
 13 MEKA. SUBBA RAO,M  37 ,SC,IND Cup & , 4441 , 0 , 4441 , 0.29 , 0.37 
"","","",Saucer,"","","","",""
 14 None of the Above,"","",NOTA NOTA, 10687 , 9 , 10696 , 0.70 , 0.90 


"","","",TOTAL:, 1188084 , 2927 , 1191011 , 77.54, 99.79
 CONSTITUENCY : 7 . M,alkajgiri,"",( Total Electors, 3183083 ),"","","",""
 1 KARUNAKAR.R,M  48 ,GEN,BSP Elephant, 6111 , 22 , 6133 , 0.19 , 0.38 
 2 CH.MALLA REDDY,M  56 ,GEN,TDP Bicycle, 522423 , 933 , 523356 , 16.44 , 32.21 
 3 SARVEY ,M  60 ,GEN,INC Hand, 232989 , 541 , 233530 , 7.34 , 14.37 
SATHYANARAYANA,"","","","","","","",""
 4 HANUMANTH RAO ,M  47 ,GEN,TRS Car, 493433 , 1757 , 495190 , 15.56 , 30.48 
MYNAMPALLY,"","","","","","","",""
 5 DR.JAYAPRAKASH  ,M  58 ,GEN,LSP Whistle, 157530 , 718 , 158248 , 4.97 , 9.74 
NARAYAN .N,"","","","","","","",""
 6 JAJULA BHASKAR,M  39 ,GEN,SHP Auto- , 7951 , 2 , 7953 , 0.25 , 0.49 
"","","",Rickshaw,"","","","",""
 7 V.DINESH REDDY,M  60 ,GEN,YSRCP Ceiling Fan, 114941 , 280 , 115221 , 3.62 , 7.09 
 8 DIVAKAR ,M  28 ,GEN,AIMIM Almirah, 18535 , 9 , 18544 , 0.58 , 1.14 
DHARANIKOTA ,"","","","","","","",""
SUDHAKAR,"","","","","","","",""
 9 PADURI SRINIVAS ,M  39 ,GEN,TLP Gas , 793 , 9 , 802 , 0.03 , 0.05 
REDDY,"","",Cylinder,"","","","",""
 10 BANDI SUDHAKAR,M  39 ,GEN,JaSPa Chappals, 4088 , 7 , 4095 , 0.13 , 0.25 
 11 MURARI.T.N,M  60 ,GEN,SHS Bow & , 1388 , 2 , 1390 , 0.04 , 0.09 
"","","",Arrow,"","","","",""
 12 SATHYANARAYANA ,M  40 ,GEN,BCBDP Candles, 593 , 3 , 596 , 0.02 , 0.04 
YAADAV PEDDIBOYINA,"","","","","","","",""
 13 SUTHARAPU ,M  60 ,GEN,APRSSP Batsman, 527 , 2 , 529 , 0.02 , 0.03 
PADMAIAH,"","","","","","","",""
 14 DR.N.V.SUDHA KIRAN,M  48 ,GEN,AAAP Broom, 8264 , 37 , 8301 , 0.26 , 0.51 
 15 SURAKANTI VENKAT ,M  50 ,GEN,PPOI Television, 2048 , 1 , 2049 , 0.06 , 0.13 
REDDY,"","","","","","","",""
 16 ANJANEYULU.E,M  28 ,GEN,IND Bat, 2675 , 2 , 2677 , 0.08 , 0.16 
 17 KANTE SAYANNA,M  35 ,GEN,IND Stethoscop,e  2260 , 1 , 2261 , 0.07 , 0.14 
 18 KOYALKAR BHOJ RAJ,M  56 ,GEN,IND Basket , 1547 , 0 , 1547 , 0.05 , 0.10 
"","","",containing ,"","","","",""
"","","",Fruits,"","","","",""


 19 GAJABINKAR ,M  47 ,GEN,IND Air , 1416 , 0 , 1416 , 0.04 , 0.09 
BANSILAL,"","",Conditione,r,"","","",""
 20 DASARI BHARATH ,M  28 ,GEN,IND Cup & , 1693 , 0 , 1693 , 0.05 , 0.10 
REDDY,"","",Saucer,"","","","",""
 21 PROF. K.NAGESHWAR,M  50 ,GEN,IND Telephone, 13037 , 202 , 13239 , 0.42 , 0.81 
 22 M.NAGESWARA RAO,M  60 ,GEN,IND Letter Box, 1264 , 37 , 1301 , 0.04 , 0.08 
 23 PEESARI SATISH ,M  32 ,GEN,IND Harmonium, 1325 , 0 , 1325 , 0.04 , 0.08 
REDDY,"","","","","","","",""
 24 POTTURI TULASI DAS,M  62 ,GEN,IND Walking , 411 , 0 , 411 , 0.01 , 0.03 
"","","",Stick,"","","","",""
 25 POLISETTY KRISHNA ,M  28 ,GEN,IND Bottle, 495 , 1 , 496 , 0.02 , 0.03 
RAO,"","","","","","","",""
 26 D.BIKSHAPATHI,M  40 ,GEN,IND Camera, 5715 , 2 , 5717 , 0.18 , 0.35 
 27 RAHUL PANDIT,M  48 ,GEN,IND Battery , 897 , 2 , 899 , 0.03 , 0.06 
"","","",Torch,"","","","",""
 28 VATTIKUTI RAMARAO ,M  28 ,GEN,IND Pen Nib wi,th  1031 , 1 , 1032 , 0.03 , 0.06 
GOUD,"","",Seven Ray,s,"","","",""
 29 M.T.VARUGHESE,M  50 ,GEN,IND Gas Stove, 1025 , 1 , 1026 , 0.03 , 0.06 
 30 B.VEERA ,M  48 ,GEN,IND Slate, 775 , 0 , 775 , 0.02 , 0.05 
HANUMANTHA REDDY,"","","","","","","",""
 31 None of the Above,"","",NOTA NOTA, 8666 , 26 , 8692 , 0.27 , 0.53 
"","","",TOTAL:, 1615846 , 4598 , 1620444 , 50.91, 99.73
 CONSTITUENCY : 8 . Se,cundrabad,"",( Total Electors, 1893741 ),"","","",""
 1 M.ANJAN KUMAR ,M  53 ,GEN,INC Hand, 183427 , 109 , 183536 , 9.69 , 18.27 
YADAV,"","","","","","","",""
 2 KHAJA KHALID ANWAR,M  47 ,GEN,BSP Elephant, 2856 , 7 , 2863 , 0.15 , 0.28 
 3 BANDARU ,M  66 ,GEN,BJP Lotus, 437860 , 411 , 438271 , 23.15 , 43.62 
DATTATREYA,"","","","","","","",""
 4 T.BHEEMSEN,M  65 ,GEN,TRS Car, 143696 , 151 , 143847 , 7.60 , 14.32 
 5 ABDUS SATTAR ,M  48 ,GEN,ABML(S) Balloon, 807 , 2 , 809 , 0.04 , 0.08 
MUJAHED,"","","","","","","",""


 6 DR.N.S.UDAY KUMAR,M  53 ,GEN,pjdl Television, 927 , 1 , 928 , 0.05 , 0.09 
 7 KARANKOTE ,M  52 ,GEN,AIFB Lion, 474 , 0 , 474 , 0.03 , 0.05 
NARENDER,"","","","","","","",""
 8 KUMAR CHOWDARY ,M  55 ,GEN,sps Bat, 547 , 0 , 547 , 0.03 , 0.05 
YADAV.G,"","","","","","","",""
 9 KHAJA SIRAJUDDIN ,M  49 ,GEN,mmsp Iron, 957 , 2 , 959 , 0.05 , 0.10 
AZAZ,"","","","","","","",""
 10 CHAYA RATAN ,F  61 ,SC,AAAP Broom, 11162 , 22 , 11184 , 0.59 , 1.11 
MUSINIPALLY,"","","","","","","",""
 11 B.DEEPAK KUMAR,M  39 ,SC,RPI(KH) Candles, 1813 , 0 , 1813 , 0.10 , 0.18 
 12 NARLA MOHAN RAO,M  47 ,GEN,AIMIM Kite, 145095 , 25 , 145120 , 7.66 , 14.44 
 13 DR.MALATHI LATHA ,F  29 ,GEN,JAP Almirah, 871 , 2 , 873 , 0.05 , 0.09 
EPPA,"","","","","","","",""
 14 CH. MURAHARI,M  55 ,GEN,SUCI Glass , 552 , 2 , 554 , 0.03 , 0.06 
"","","",Tumbler,"","","","",""
 15 MOHD IMTIAZ ,M  35 ,GEN,IUML Ladder, 784 , 2 , 786 , 0.04 , 0.08 
HUSSAIN,"","","","","","","",""
 16 RAGHU DESHABOINA,M  45 ,GEN,BMUP Cot, 1494 , 2 , 1496 , 0.08 , 0.15 
 17 J.RAMULU,M  39 ,GEN,RSP Spade & , 2057 , 1 , 2058 , 0.11 , 0.20 
"","","",Stoker,"","","","",""
 18 SHAKTHI SATYAVATHI,F  49 ,ST,PPOI Battery , 638 , 0 , 638 , 0.03 , 0.06 
"","","",Torch,"","","","",""
 19 K. SRINIVASULU,M  42 ,GEN,JaSPa Chappals, 3688 , 3 , 3691 , 0.19 , 0.37 
 20 SYED SAJID ALI,M  44 ,GEN,YSRCP Ceiling Fan, 45161 , 26 , 45187 , 2.39 , 4.50 
 21 K.SAI KRISHNA ,M  53 ,GEN,ICSP Trumpet, 2599 , 4 , 2603 , 0.14 , 0.26 
MOHAN RAO,"","","","","","","",""
 22 SONU SARSAL ,M  29 ,SC,TECPI Auto- , 2310 , 1 , 2311 , 0.12 , 0.23 
VALMIKI,"","",Rickshaw,"","","","",""
 23 ANANTH RAO ,M  43 ,GEN,IND Pen Nib wi,th  779 , 0 , 779 , 0.04 , 0.08 
GUNDEPALLY,"","",Seven Ray,s,"","","",""
 24 AVULA ,M  60 ,GEN,IND Telephone, 1143 , 1 , 1144 , 0.06 , 0.11 
RANGANAYAKULU,"","","","","","","",""
 25 MICHAEL DANIEL ,M  41 ,GEN,IND Pot, 291 , 0 , 291 , 0.02 , 0.03 
OVELZ,"","","","","","","",""


 26 MOHD ABUBAKAR ,M  38 ,GEN,IND Gas , 322 , 0 , 322 , 0.02 , 0.03 
PARWAIZ SIDDIQUI,"","",Cylinder,"","","","",""
 27 MOHAMMED RIZWAN ,M  32 ,GEN,IND Coconut, 370 , 0 , 370 , 0.02 , 0.04 
HUSSAIN,"","","","","","","",""
 28 S. LAKSHMAN RAO,M  50 ,GEN,IND Envelope, 885 , 1 , 886 , 0.05 , 0.09 
 29 SYED MADANI QUADR,I M  53 ,GEN,IND Bread, 376 , 0 , 376 , 0.02 , 0.04 
 30 B.SUBRAMANYAM,M  60 ,GEN,IND Camera, 2480 , 1 , 2481 , 0.13 , 0.25 
 31 None of the Above,"","",NOTA NOTA, 6567 , 5 , 6572 , 0.35 , 0.65 
"","","",TOTAL:, 1002988 , 781 , 1003769 , 53.01, 99.90
 CONSTITUENCY : 9 . H,yderabad,"",( Total Electors, 1823217 ),"","","",""
 1 S KRISHNA REDDY,M  51 ,GEN,INC Hand, 49301 , 9 , 49310 , 2.70 , 5.07 
 2 DR.BHAGAVANTH RAO,M  61 ,GEN,BJP Lotus, 311336 , 78 , 311414 , 17.08 , 32.05 
