Year,State,Constituency,State_Code,Constituency_Number,Category,Candidates_Nominated_Men,Candidates_Nominated_Women,Candidates_Nominated_Others,Candidates_Nominated_Total,Nominations_Rejected_Men,Nominations_Rejected_Women,Nominations_Rejected_Others,Nominations_Rejected_Total,Candidates_Withdrawn_Men,Candidates_Withdrawn_Women,Candidates_Withdrawn_Others,Candidates_Withdrawn_Total,Contested_Men,Contested_Women,Contested_Others,Contested_Total,Forfeited_Men,Forfeited_Women,Forfeited_Others,Forfeited_Total,General_Electors_Men,General_Electors_Women,General_Electors_Others,General_Electors_Total,Overseas_Electors_Men,Overseas_Electors_Women,Overseas_Electors_Others,Overseas_Electors_Total,Service_Electors_Men,Service_Electors_Women,Service_Electors_Others,Service_Electors_Total,Total_Electors_Men,Total_Electors_Women,Total_Electors_Others,Total_Electors,General_Voters_Men,General_Voters_Women,General_Voters_Others,General_Voters_Total,Overseas_Voters_Men,Overseas_Voters_Women,Overseas_Electors_Others,Overseas_Voters_Total,Proxy_Voters,Postal_Voters_Men,Postal_Voters_Women,Postal_Voters_Total,Total_Voters_Men,Total_Voters_Women,Total_Voters,Total Votes Polled,Rejected_Votes,Votes Rejected Due To Other Reason,% of Votes Rejected,Rejected_Votes_Postal,Polling_Percentage_Men,Polling_Percentage_Women,Polling_Percentage_Total,Votes Not Retrieved From EVM,TOTAL VOTES POLLED ON EVM,TOTAL DEDUCTED VOTES FROM EVM,TOTAL VALID VOTES POLLED ON EVM,POSTAL VOTES COUNTED,POSTAL VOTES DEDUCTED,VALID POSTAL VOTES,Valid Votes,Total_Valid_Votes_Polled,TEST VOTES POLLED ON EVM,VOTES POLLED FOR NOTA,Missing_Votes,Ballot_Paper_Set_Apart,Tendered_Votes,Polling_Stations,Avg_Per_Polling_Station,Re-Poll_Stations
2014,, Adilabad,S01,1,,11,0,0,11,2,0,0,2,1,0,0,1,8,0,0,8,5,0,0,5,686853,698617,144,1385614,0,0,0,0,568,100,,668,687421,698717,144,1386282,518481,525482,2,1043965,0,0,0,0,0,,,11628,,,1055593,,,0,,,,,76.15,,1043965,23266,1020699,11628,3572,8056,,1028755,0,17084,,, 1 ,1662,834,0
2014,, Peddapalle,S01,2,,20,1,0,21,2,0,0,2,2,0,0,2,16,1,0,17,14,1,0,15,725395,699423,116,1424934,0,0,0,0,370,51,,421,725765,699474,116,1425355,520741,500992,14,1021747,0,0,0,0,0,,,3447,,,1025194,,,0,,,,,71.93,,1021747,8303,1013444,3447,68,3379,,1016823,0,5361,,, 0 ,1707,835,0
2014,, Karimnagar,S01,3,,20,0,0,20,2,0,0,2,1,0,0,1,17,0,0,17,14,0,0,14,777182,773249,79,1550510,0,0,0,0,258,42,,300,777440,773291,79,1550810,550760,569382,0,1120142,0,0,0,0,0,,,7083,,,1127225,,,0,,,,,72.69,,1120142,6223,1113919,7083,1552,5531,,1119450,0,5734,,, 1 ,1876,827,1
2014,, Nizamabad,S01,4,,38,1,0,39,14,0,0,14,9,0,0,9,15,1,0,16,13,0,0,13,724326,771547,84,1495957,0,0,0,0,197,39,,236,724523,771586,84,1496193,467172,559329,4,1026505,0,0,0,0,0,,,7527,,,1034032,,,0,,,,,69.11,,1026505,7244,1019261,7527,130,7397,,1026658,0,7266,,, 0 ,1653,905,2
2014,, Zahirabad,S01,5,,15,0,0,15,2,0,0,2,3,0,0,3,10,0,0,10,8,0,0,8,717757,727350,74,1445181,0,0,0,0,134,39,,173,717891,727389,74,1445354,546010,546798,0,1092808,0,0,0,0,0,,,6976,,,1099784,,,0,,,,,76.09,,1092808,13699,1079109,6976,2469,4507,,1083616,0,11190,,, 0 ,1757,823,3
2014,, Medak,S01,6,,14,1,0,15,1,1,0,2,0,0,0,0,13,0,0,13,11,0,0,11,775373,760517,74,1535964,0,0,0,0,187,15,,202,775560,760532,74,1536166,605044,583040,0,1188084,0,0,0,0,0,,,5464,,,1193548,,,0,,,,,77.7,,1188084,10687,1177397,5464,2546,2918,,1180315,0,10696,,, 0 ,1817,845,0
2014,, Malkajgiri,S01,7,,32,0,0,32,0,0,0,0,2,0,0,2,30,0,0,30,28,0,0,28,1722513,1459322,405,3182240,0,0,0,0,748,95,,843,1723261,1459417,405,3183083,877156,741285,0,1618441,0,0,0,0,0,,,6418,,,1624859,,,0,,,,,51.05,,1618441,11261,1607180,6418,1846,4572,,1611752,0,8692,,, 0 ,2882,1104,0
2014,, Secundrabad,S01,8,,32,6,0,38,2,2,0,4,3,1,0,4,27,3,0,30,25,3,0,28,1012297,880716,222,1893235,0,0,0,0,443,63,,506,1012740,880779,222,1893741,546289,457397,3,1003689,0,0,0,0,0,,,1074,,,1004763,,,0,,,,,53.06,,1003689,7268,996421,1074,298,776,,997197,0,6572,,, 12 ,1603,1181,0
2014,, Hyderabad,S01,9,,15,2,0,17,1,0,0,1,0,0,0,0,14,2,0,16,12,2,0,14,960169,862339,221,1822729,0,0,0,0,311,177,,488,960480,862516,221,1823217,525811,445415,0,971226,0,0,0,0,0,,,544,,,971770,,,0,,,,,53.3,,971226,5011,966215,544,351,193,,966408,0,5013,,, 16 ,1567,1164,0
2014,, CHELVELLA,S01,10,,24,0,0,24,4,0,0,4,5,0,0,5,15,0,0,15,12,0,0,12,1152761,1031810,206,2184777,0,0,0,0,300,87,,387,1153061,1031897,206,2185164,695012,617108,0,1312120,0,0,0,0,0,,,10192,,,1322312,,,0,,,,,60.51,,1312120,12700,1299420,10192,3768,6424,,1305844,0,10018,,, 0 ,2142,1020,0
2014,, Mahbubnagar,S01,11,,16,1,0,17,1,0,0,1,6,1,0,7,9,0,0,9,6,0,0,6,712669,705353,157,1418179,0,0,0,0,395,94,,489,713064,705447,157,1418668,509912,499391,1,1009304,0,0,0,0,0,,,6216,,,1015520,,,0,,,,,71.58,,1009304,9608,999696,6216,149,6067,,1005763,0,9037,,, 0 ,1592,891,0
2014,, Nagarkurnool,S01,12,,9,0,0,9,1,0,0,1,2,0,0,2,6,0,0,6,3,0,0,3,744564,732059,151,1476774,0,0,0,0,486,45,,531,745050,732104,151,1477305,569056,537781,28,1106865,0,0,0,0,0,,,9294,,,1116159,,,0,,,,,75.55,,1106865,14227,1092638,9294,5352,3942,,1096580,0,12388,,, 0 ,1676,881,0
2014,, Nalgonda,S01,13,,11,0,0,11,2,0,0,2,0,0,0,0,9,0,0,9,6,0,0,6,745750,748189,45,1493984,0,0,0,0,292,67,,359,746042,748256,45,1494343,597237,583448,2,1180687,0,0,0,0,0,,,10980,,,1191667,,,0,,,,,79.75,,1180687,9284,1171403,10980,2289,8691,,1180094,0,9305,,, 2 ,1729,864,0
2014,, Bhongir,S01,14,,15,0,0,15,1,0,0,1,1,0,0,1,13,0,0,13,11,0,0,11,756662,735143,58,1491863,0,0,0,0,303,74,,377,756965,735217,58,1492240,620408,588076,9,1208493,0,0,0,0,0,,,4245,,,1212738,,,0,,,,,81.27,,1208493,10869,1197624,4245,1044,3201,,1200825,0,10907,,, 0 ,1825,818,0
2014,, Warangal,S01,15,,14,0,0,14,1,0,0,1,1,0,0,1,12,0,0,12,10,0,0,10,771445,765775,156,1537376,1,0,0,1,314,87,,401,771760,765862,156,1537778,590443,580206,74,1170723,0,0,0,0,0,,,5930,,,1176653,,,0,,,,,76.52,,1170723,14007,1156716,5930,2049,3881,,1160597,0,14034,,, 0 ,1751,878,0
