Year,State,Constituency,Category,Total Electors,Total Voters,Poll Percentage,Total General Votes Secured,Total Postal Votes Secured,Total Votes Secured,Total General Valid Votes,Total Postal Valid Votes,Total Valid Votes,% of votes secured out of total electors,% of votes secured out of total votes polled
2014,Andhra Pradesh, Adilabad,ST,1386282,,, 1037720 , 8119 , 1045839 ,,,, 75.45, 99.08
2014,Andhra Pradesh, Peddapalle,SC,1425355,,, 1018788 , 3396 , 1022184 ,,,, 71.72, 99.71
2014,Andhra Pradesh, Karimnagar,GEN,1550810,,, 1119641 , 5543 , 1125184 ,,,, 72.56, 99.82
2014,Andhra Pradesh, Nizamabad,GEN,1496193,,, 1026505 , 7419 , 1033924 ,,,, 69.11, 99.99
2014,Andhra Pradesh, Zahirabad,GEN,1445354,,, 1090266 , 4540 , 1094806 ,,,, 75.75, 99.55
2014,Andhra Pradesh, Medak,GEN,1536166,,, 1188084 , 2927 , 1191011 ,,,, 77.54, 99.79
2014,Andhra Pradesh, Malkajgiri,GEN,3183083,,, 1615846 , 4598 , 1620444 ,,,, 50.91, 99.73
2014,Andhra Pradesh, Secundrabad,GEN,1893741,,, 1002988 , 781 , 1003769 ,,,, 53.01, 99.90
2014,Andhra Pradesh, Hyderabad,GEN,1823217,,, 971226 , 195 , 971421 ,,,, 53.29, 99.96
2014,Andhra Pradesh, CHELVELLA,GEN,2185164,,, 1309409 , 6453 , 1315862 ,,,, 60.22, 99.51
2014,Andhra Pradesh, Mahbubnagar,SC,1418668,,, 1008712 , 6088 , 1014800 ,,,, 71.54, 99.93
2014,Andhra Pradesh, Nagarkurnool,SC,1477305,,, 1104967 , 4001 , 1108968 ,,,, 75.07, 99.36
2014,Andhra Pradesh, Nalgonda,GEN,1494343,,, 1180687 , 8712 , 1189399 ,,,, 79.60, 99.81
2014,Andhra Pradesh, Bhongir,GEN,1492240,,, 1208493 , 3239 , 1211732 ,,,, 81.21, 99.92
2014,Andhra Pradesh, Warangal,SC,1537778,,, 1170723 , 3908 , 1174631 ,,,, 76.39, 99.83
2014,Andhra Pradesh, Mahabubabad,ST,1387288,,, 1120271 , 4101 , 1124372 ,,,, 81.05, 99.80
2014,Andhra Pradesh, Khammam,GEN,1440267,,, 1176749 , 7100 , 1183849 ,,,, 82.20, 99.58
2014,Andhra Pradesh, Aruku,ST,1272340,,, 904075 , 5539 , 909614 ,,,, 71.50, 99.54
2014,Andhra Pradesh, Srikakulam,GEN,1413726,,, 1044876 , 7239 , 1052115 ,,,, 74.43, 99.76
2014,Andhra Pradesh, Vizianagaram,GEN,1403736,,, 1115590 , 4726 , 1120316 ,,,, 79.82, 99.53
2014,Andhra Pradesh, Visakhapatnam,GEN,1723011,,, 1160178 , 3380 , 1163558 ,,,, 67.54, 100.00
2014,Andhra Pradesh, Anakapalli,GEN,1401474,,, 1144120 , 3952 , 1148072 ,,,, 81.92, 99.89
2014,Andhra Pradesh, Kakinada,GEN,1418290,,, 1093933 , 6066 , 1099999 ,,,, 77.57, 99.84
2014,Andhra Pradesh, Amalapuram,SC,1357865,,, 1113914 , 7013 , 1120927 ,,,, 82.55, 99.91
2014,Andhra Pradesh, Rajahmundry,GEN,1421276,,, 1148963 , 5418 , 1154381 ,,,, 81.23, 99.81
2014,Andhra Pradesh, Narsapuram,GEN,1325028,,, 1083177 , 5770 , 1088947 ,,,, 82.19, 99.99
2014,Andhra Pradesh, Eluru,SC,1427764,,, 1194720 , 6977 , 1201697 ,,,, 84.17, 99.87
2014,Andhra Pradesh, Machilipatnam,GEN,1369311,,, 1133270 , 7795 , 1141065 ,,,, 83.34, 99.83
2014,Andhra Pradesh, Vijayawada,GEN,1564513,,, 1188379 , 7386 , 1195765 ,,,, 76.44, 99.73
2014,Andhra Pradesh, Guntur,GEN,1572017,,, 1237579 , 7347 , 1244926 ,,,, 79.20, 99.85
2014,Andhra Pradesh, Narasaraopet,GEN,1514861,,, 1276157 , 5901 , 1282058 ,,,, 84.64, 99.94
2014,Andhra Pradesh, Bapatla,SC,1392964,,, 1177932 , 6702 , 1184634 ,,,, 85.05, 99.86
2014,Andhra Pradesh, Ongole,GEN,1470212,,, 1197855 ,10370 , 1208225 ,,,, 82.19, 99.94
2014,Andhra Pradesh, Nandyal,SC,1576945,,, 1200607 , 4349 , 1204956 ,,,, 76.42, 99.61
2014,Andhra Pradesh, Kurnool,GEN,1481791,,, 1062680 , 3052 , 1065732 ,,,, 71.93, 99.78
2014,Andhra Pradesh, Anantapur,GEN,1536894,,, 1205849 , 6296 , 1212145 ,,,, 78.88, 100.00
2014,Andhra Pradesh, Hindupur,GEN,1446496,,, 1170783 , 6474 , 1177257 ,,,, 81.39, 99.83
2014,Andhra Pradesh, Kadapa,GEN,1550440,,, 1189392 ,11270 , 1200662 ,,,, 77.45, 99.96
2014,Andhra Pradesh, Nellore,GEN,1606127,,, 1179968 , 7680 , 1187648 ,,,, 73.95, 99.90
2014,Andhra Pradesh, Tirupati,SC,1574161,,, 1207418 , 5644 , 1213062 ,,,, 77.07, 99.89
2014,Andhra Pradesh, Rajampet,GEN,1487791,,, 1153835 , 4482 , 1158317 ,,,, 77.86, 99.75
2014,Andhra Pradesh, Chittoor,SC,1451851,,, 1192153 , 6762 , 1198915 ,,,, 82.59, 99.98
2014,Arunachal Pradesh, ARUNACHAL WEST,ST,446640,,, 325796 , 9869 , 335665 ,,,, 75.15, 99.41
2014,Arunachal Pradesh, ARUNACHAL EAST,ST,312704,,, 254968 , 6323 , 261291 ,,,, 83.56, 99.29
2014,Assam, Karimganj,SC,1165997,,, 885704 , 1216 , 886920 ,,,, 76.07, 99.90
2014,Assam, Silchar,GEN,1060175,,, 799746 , 84 , 799830 ,,,, 75.45, 99.97
2014,Assam, Autonomous District,ST,702230,,, 542962 , 318 , 543280 ,,,, 77.36, 99.92
2014,Assam, Dhubri,GEN,1550166,,, 1369123 , 501 , 1369624 ,,,, 88.35, 99.99
2014,Assam, Kokrajhar,ST,1505472,,, 1223214 , 655 , 1223869 ,,,, 81.30, 99.97
2014,Assam, Barpeta,GEN,1430188,,, 1205352 , 511 , 1205863 ,,,, 84.31, 99.90
2014,Assam, Gauhati,SC,1922270,,, 1511616 , 113 , 1511729 ,,,, 78.64, 99.97
2014,Assam, Mangaldoi,GEN,1515676,,, 1233049 , 188 , 1233237 ,,,, 81.37, 99.98
2014,Assam, Tezpur,GEN,1259568,,, 980524 , 164 , 980688 ,,,, 77.86, 99.98
2014,Assam, Nowgong,ST,1523881,,, 1229709 , 365 , 1230074 ,,,, 80.72, 99.97
2014,Assam, Kaliabor,GEN,1457219,,, 1165909 , 581 , 1166490 ,,,, 80.05, 99.92
2014,Assam, Jorhat,GEN,1189486,,, 930872 , 464 , 931336 ,,,, 78.30, 99.98
2014,Assam, Dibrugarh,GEN,1124305,,, 890824 , 144 , 890968 ,,,, 79.25, 99.98
2014,Assam, Lakhimpur,GEN,1431080,,, 1111402 , 573 , 1111975 ,,,, 77.70, 99.94
